antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Aladdin (1992)'}),"frozenset({'Lion King, The (1994)'})",0.15286624203821655,0.14225053078556263,0.08598726114649681,0.5625,3.9542910447761197,1.0,0.06424195707736621,1.9605702153472855,0.8819270398217764,0.4111675126903553,0.4899443069306931,0.5834888059701493
"frozenset({'Lion King, The (1994)'})",frozenset({'Aladdin (1992)'}),0.14225053078556263,0.15286624203821655,0.08598726114649681,0.6044776119402985,3.9542910447761193,1.0,0.06424195707736621,2.141809878620358,0.871012101210121,0.4111675126903553,0.5331051509370441,0.5834888059701493
frozenset({'Beauty and the Beast (1991)'}),"frozenset({'Lion King, The (1994)'})",0.1464968152866242,0.14225053078556263,0.08067940552016985,0.5507246376811594,3.8715120051914345,1.0,0.05984015578725303,1.9091843024450381,0.8690102120974077,0.3877551020408163,0.47621609987085667,0.5589444083928186
"frozenset({'Lion King, The (1994)'})",frozenset({'Beauty and the Beast (1991)'}),0.14225053078556263,0.1464968152866242,0.08067940552016985,0.5671641791044776,3.871512005191434,1.0,0.05984015578725303,1.9718866681309026,0.8647081813444502,0.3877551020408163,0.49287146357763423,0.5589444083928186
frozenset({'Dave (1993)'}),frozenset({'Groundhog Day (1993)'}),0.11252653927813164,0.19002123142250532,0.08067940552016985,0.7169811320754716,3.773163276061979,1.0,0.05929697395882636,2.8619249823071473,0.828160412994208,0.36363636363636354,0.6505848314745667,0.5707810688310319
frozenset({'Beauty and the Beast (1991)'}),frozenset({'Aladdin (1992)'}),0.1464968152866242,0.15286624203821655,0.08386411889596602,0.572463768115942,3.7448671497584543,1.0,0.061469701272533026,1.981431501673324,0.8587757415454373,0.38916256157635465,0.4953143728887436,0.5605374396135265
frozenset({'Aladdin (1992)'}),frozenset({'Beauty and the Beast (1991)'}),0.15286624203821655,0.1464968152866242,0.08386411889596602,0.548611111111111,3.744867149758454,1.0,0.061469701272533026,1.8908378245957862,0.865232702008185,0.38916256157635465,0.47113391376451075,0.5605374396135265
frozenset({'North by Northwest (1959)'}),frozenset({'Vertigo (1958)'}),0.16348195329087048,0.17197452229299362,0.10509554140127389,0.6428571428571429,3.7380952380952386,1.0,0.07698081058055095,2.318471337579618,0.8756345177664976,0.4562211981566821,0.5686813186813188,0.626984126984127
frozenset({'Vertigo (1958)'}),frozenset({'North by Northwest (1959)'}),0.17197452229299362,0.16348195329087048,0.10509554140127389,0.6111111111111112,3.7380952380952386,1.0,0.07698081058055095,2.151046405823476,0.8846153846153847,0.4562211981566821,0.5351099830795263,0.626984126984127
frozenset({'Apt Pupil (1998)'}),frozenset({'Good Will Hunting (1997)'}),0.1326963906581741,0.1740976645435244,0.08598726114649681,0.648,3.722048780487805,1.0,0.06288512943955354,2.3463134530013514,0.8432234764344105,0.38942307692307687,0.5737994858611826,0.5709512195121951
"frozenset({'Bridge on the River Kwai, The (1957)'})",frozenset({'Lawrence of Arabia (1962)'}),0.14437367303609341,0.15392781316348195,0.08174097664543524,0.5661764705882353,3.678194726166329,1.0,0.05951785287660982,1.950268091690957,0.8509877219554639,0.37745098039215685,0.4872499815484538,0.548605476673428
frozenset({'Lawrence of Arabia (1962)'}),"frozenset({'Bridge on the River Kwai, The (1957)'})",0.15392781316348195,0.14437367303609341,0.08174097664543524,0.5310344827586206,3.6781947261663284,1.0,0.05951785287660982,1.8244973148495065,0.8605973700076586,0.37745098039215685,0.45190382476255664,0.548605476673428
"frozenset({'Birds, The (1963)'})",frozenset({'Psycho (1960)'}),0.11464968152866242,0.19639065817409768,0.08280254777070063,0.7222222222222222,3.677477477477477,1.0,0.06028642135583593,2.892993630573248,0.8223574986164914,0.3627906976744185,0.6543372963452224,0.5719219219219219
frozenset({'Gone with the Wind (1939)'}),"frozenset({'Wizard of Oz, The (1939)'})",0.12314225053078556,0.1921443736730361,0.08492569002123142,0.689655172413793,3.589255096208801,1.0,0.06126459942030553,2.603090351497994,0.8226997578692494,0.368663594470046,0.6158412252480855,0.565822061345018
"frozenset({'Maltese Falcon, The (1941)'})",frozenset({'Casablanca (1942)'}),0.11889596602972399,0.22929936305732485,0.09660297239915075,0.8125,3.5434027777777777,1.0,0.06934020311844971,4.110403397027601,0.8146431881371642,0.3839662447257383,0.7567148760330579,0.6168981481481481
frozenset({'Brazil (1985)'}),frozenset({'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)'}),0.1475583864118896,0.16348195329087048,0.08492569002123142,0.5755395683453237,3.520508268709708,1.0,0.06080255678616667,1.9707798049587966,0.8398816936488169,0.3755868544600939,0.492586641346821,0.5475100439129216
frozenset({'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)'}),frozenset({'Brazil (1985)'}),0.16348195329087048,0.1475583864118896,0.08492569002123142,0.5194805194805194,3.5205082687097073,1.0,0.06080255678616667,1.774000114764446,0.8558692893401015,0.3755868544600939,0.4363021785188659,0.5475100439129216
frozenset({'Emma (1996)'}),frozenset({'Sense and Sensibility (1995)'}),0.11889596602972399,0.2208067940552017,0.09129511677282377,0.7678571428571428,3.4775068681318677,1.0,0.06504207968770426,3.356524579454515,0.8085738302045391,0.36752136752136744,0.7020727909692487,0.5906593406593406
frozenset({'M*A*S*H (1970)'}),frozenset({'Young Frankenstein (1974)'}),0.1613588110403397,0.14968152866242038,0.08280254777070063,0.5131578947368421,3.428331466965286,1.0,0.05865011427103195,1.7466001032880016,0.8445959104186951,0.36279069767441857,0.4274590971811552,0.5331746920492721
frozenset({'Young Frankenstein (1974)'}),frozenset({'M*A*S*H (1970)'}),0.14968152866242038,0.1613588110403397,0.08280254777070063,0.5531914893617021,3.428331466965286,1.0,0.05865011427103195,1.8769588514811446,0.8329972150196869,0.36279069767441857,0.46722326959332083,0.5331746920492721
